tiempo,angulo
'0:0:0.24,228.74
'0:0:1.75,219.24
'0:0:3.26,215.81
'0:0:4.72,211.15
'0:0:6.17,207.29
'0:0:7.62,204.21
'0:0:9.04,201.31
'0:0:10.47,198.93
'0:0:11.89,196.82
'0:0:13.32,194.98
'0:0:14.73,193.31
'0:0:16.17,191.73
'0:0:17.55,190.32
'0:0:18.96,189.09
'0:0:20.36,187.86
'0:0:21.77,186.8
'0:0:23.16,186.01
'0:0:24.58,184.87
'0:0:25.98,183.99
'0:0:27.38,183.29
'0:0:28.78,182.5
'0:0:30.19,181.97
'0:0:31.56,181.26
'0:0:32.98,180.47
'0:0:34.37,179.86
'0:0:35.77,179.24
'0:0:37.13,178.72
'0:0:38.54,178.1
'0:0:39.98,177.66
'0:0:41.36,177.13
'0:0:42.74,176.78
'0:0:44.17,176.43
'0:0:45.55,176.17
'0:0:46.91,175.9
'0:0:48.33,175.55
'0:0:49.74,174.94
'0:0:51.13,174.58
'0:0:52.52,174.23
'0:0:53.93,173.88
'0:0:55.29,173.7
'0:0:56.71,173.53
'0:0:58.1,173.35
'0:0:59.5,173.09
